"artifact_id","sensitivity_type","scenario","replicate","main_class_code","compact_class_code","tree_class_code","main_score_margin"
"A1","clr_noise","sd_0.03",54,2,2,2,0.86263964947393
"A1","clr_noise","sd_0.03",55,2,2,2,0.856489332148162
"A1","clr_noise","sd_0.03",56,2,2,2,0.856822278687156
"A1","clr_noise","sd_0.03",57,2,2,2,0.862207842294603
"A1","clr_noise","sd_0.03",58,2,2,2,0.859553743586867
"A1","clr_noise","sd_0.03",59,2,2,2,0.852514039431567
"A1","clr_noise","sd_0.03",60,2,2,2,0.855383157889048
"A1","clr_noise","sd_0.03",61,2,2,2,0.857482432411552
"A1","clr_noise","sd_0.03",62,2,2,2,0.863008253742626
"A1","clr_noise","sd_0.03",63,2,2,2,0.871761433395981
"A1","clr_noise","sd_0.03",64,2,2,2,0.86449846558428
"A1","clr_noise","sd_0.03",65,2,2,2,0.866166933370975
"A1","clr_noise","sd_0.03",66,2,2,2,0.865115834132807
"A1","clr_noise","sd_0.03",67,2,2,2,0.873917429163993
"A1","clr_noise","sd_0.03",68,2,2,2,0.859799116714071
"A1","clr_noise","sd_0.03",69,2,2,2,0.866310521390668
"A1","clr_noise","sd_0.03",70,2,2,2,0.85029370464757
"A1","clr_noise","sd_0.03",71,2,2,2,0.874942396783198
"A1","clr_noise","sd_0.03",72,2,2,2,0.873673406291272
"A1","clr_noise","sd_0.03",73,2,2,2,0.860595847722977
"A1","clr_noise","sd_0.03",74,2,2,2,0.865662757952426
"A1","clr_noise","sd_0.03",75,2,2,2,0.863097231040393
"A1","clr_noise","sd_0.03",76,2,2,2,0.868546057781126
"A1","clr_noise","sd_0.03",77,2,2,2,0.864566126783604
"A1","clr_noise","sd_0.03",78,2,2,2,0.865448777410075
"A1","clr_noise","sd_0.03",79,2,2,2,0.861122914726503
"A1","clr_noise","sd_0.03",80,2,2,2,0.847682285847408
"A1","clr_noise","sd_0.03",81,2,2,2,0.863870390459324
"A1","clr_noise","sd_0.03",82,2,2,2,0.855895763959957
"A1","clr_noise","sd_0.03",83,2,2,2,0.867572098341716
"A1","clr_noise","sd_0.03",84,2,2,2,0.860761938536539
"A1","clr_noise","sd_0.03",85,2,2,2,0.857091879412223
"A1","clr_noise","sd_0.03",86,2,2,2,0.855035342310659
"A1","clr_noise","sd_0.03",87,2,2,2,0.860983160458914
"A1","clr_noise","sd_0.03",88,2,2,2,0.862109978644893
"A1","clr_noise","sd_0.03",89,2,2,2,0.861767121881058
"A1","clr_noise","sd_0.03",90,2,2,2,0.850989222661033
"A1","clr_noise","sd_0.03",91,2,2,2,0.86215825295386
"A1","clr_noise","sd_0.03",92,2,2,2,0.862800334291275
"A1","clr_noise","sd_0.03",93,2,2,2,0.863586367044562
"A1","clr_noise","sd_0.03",94,2,2,2,0.864993213985872
"A1","clr_noise","sd_0.03",95,2,2,2,0.865378624006654
"A1","clr_noise","sd_0.03",96,2,2,2,0.856143756851005
"A1","clr_noise","sd_0.03",97,2,2,2,0.854201694400244
"A1","clr_noise","sd_0.03",98,2,2,2,0.850923957785309
"A1","clr_noise","sd_0.03",99,2,2,2,0.852050201674627
"A1","clr_noise","sd_0.03",100,2,2,2,0.855386246061439
"A2","clr_noise","sd_0.03",1,1,1,1,0.315297461425603
"A2","clr_noise","sd_0.03",2,1,1,1,0.319943146016364
"A2","clr_noise","sd_0.03",3,1,1,1,0.310316390004775
"A2","clr_noise","sd_0.03",4,1,1,1,0.317439519567901
"A2","clr_noise","sd_0.03",5,1,1,1,0.317828422096826
"A2","clr_noise","sd_0.03",6,1,1,1,0.309296242365688
"A2","clr_noise","sd_0.03",7,1,1,1,0.319786785911613
"A2","clr_noise","sd_0.03",8,1,1,1,0.30567077553314
"A2","clr_noise","sd_0.03",9,1,1,1,0.295917890176222
"A2","clr_noise","sd_0.03",10,1,1,1,0.31515428679028
"A2","clr_noise","sd_0.03",11,1,1,1,0.299254838345572
"A2","clr_noise","sd_0.03",12,1,1,1,0.311141972541389
"A2","clr_noise","sd_0.03",13,1,1,1,0.304706570412551
"A2","clr_noise","sd_0.03",14,1,1,1,0.297700374426691
"A2","clr_noise","sd_0.03",15,1,1,1,0.30962265163312
"A2","clr_noise","sd_0.03",16,1,1,1,0.311941788828297
"A2","clr_noise","sd_0.03",17,1,1,1,0.307196236778188
"A2","clr_noise","sd_0.03",18,1,1,1,0.307650935655929
"A2","clr_noise","sd_0.03",19,1,1,1,0.303419693840004
"A2","clr_noise","sd_0.03",20,1,1,1,0.304654156077487
"A2","clr_noise","sd_0.03",21,1,1,1,0.306507366176281
"A2","clr_noise","sd_0.03",22,1,1,1,0.303505963342896
"A2","clr_noise","sd_0.03",23,1,1,1,0.313451414101158
"A2","clr_noise","sd_0.03",24,1,1,1,0.298640683151067
"A2","clr_noise","sd_0.03",25,1,1,1,0.321100848146091
"A2","clr_noise","sd_0.03",26,1,1,1,0.310764564657749
"A2","clr_noise","sd_0.03",27,1,1,1,0.30548543648622
"A2","clr_noise","sd_0.03",28,1,1,1,0.318240078518739
"A2","clr_noise","sd_0.03",29,1,1,1,0.317879344787147
"A2","clr_noise","sd_0.03",30,1,1,1,0.307554648791434
"A2","clr_noise","sd_0.03",31,1,1,1,0.311043842371014
"A2","clr_noise","sd_0.03",32,1,1,1,0.312456049848457
"A2","clr_noise","sd_0.03",33,1,1,1,0.310220935093184
"A2","clr_noise","sd_0.03",34,1,1,1,0.311999528560305
"A2","clr_noise","sd_0.03",35,1,1,1,0.315492470205175
"A2","clr_noise","sd_0.03",36,1,1,1,0.31530308178301
"A2","clr_noise","sd_0.03",37,1,1,1,0.298714769149021
"A2","clr_noise","sd_0.03",38,1,1,1,0.309513927183312
"A2","clr_noise","sd_0.03",39,1,1,1,0.309611387800397
"A2","clr_noise","sd_0.03",40,1,1,1,0.3075516342773
"A2","clr_noise","sd_0.03",41,1,1,1,0.30064198531548
"A2","clr_noise","sd_0.03",42,1,1,1,0.306130205879089
"A2","clr_noise","sd_0.03",43,1,1,1,0.321846457718273
"A2","clr_noise","sd_0.03",44,1,1,1,0.311368686718246
"A2","clr_noise","sd_0.03",45,1,1,1,0.307418619980192
"A2","clr_noise","sd_0.03",46,1,1,1,0.317848233779447
"A2","clr_noise","sd_0.03",47,1,1,1,0.305926097922421
"A2","clr_noise","sd_0.03",48,1,1,1,0.316207972590912
"A2","clr_noise","sd_0.03",49,1,1,1,0.298351181989303
"A2","clr_noise","sd_0.03",50,1,1,1,0.29737608107558
"A2","clr_noise","sd_0.03",51,1,1,1,0.309110750627267
"A2","clr_noise","sd_0.03",52,1,1,1,0.300520122235591
"A2","clr_noise","sd_0.03",53,1,1,1,0.302296408320098
"A2","clr_noise","sd_0.03",54,1,1,1,0.303761115084456
"A2","clr_noise","sd_0.03",55,1,1,1,0.300683544842611
"A2","clr_noise","sd_0.03",56,1,1,1,0.317069798505905
"A2","clr_noise","sd_0.03",57,1,1,1,0.291917997431908
"A2","clr_noise","sd_0.03",58,1,1,1,0.29839914403042
"A2","clr_noise","sd_0.03",59,1,1,1,0.304692017680772
"A2","clr_noise","sd_0.03",60,1,1,1,0.317215992188871
"A2","clr_noise","sd_0.03",61,1,1,1,0.306984341910762
"A2","clr_noise","sd_0.03",62,1,1,1,0.313081172846413
"A2","clr_noise","sd_0.03",63,1,1,1,0.301795284966303
"A2","clr_noise","sd_0.03",64,1,1,1,0.326274710847731
"A2","clr_noise","sd_0.03",65,1,1,1,0.310224775701637
"A2","clr_noise","sd_0.03",66,1,1,1,0.296860467451789
"A2","clr_noise","sd_0.03",67,1,1,1,0.31097151926652
"A2","clr_noise","sd_0.03",68,1,1,1,0.297557424924559
"A2","clr_noise","sd_0.03",69,1,1,1,0.304955472694751
"A2","clr_noise","sd_0.03",70,1,1,1,0.308795912183678
"A2","clr_noise","sd_0.03",71,1,1,1,0.294788943400365
"A2","clr_noise","sd_0.03",72,1,1,1,0.302422250847513
"A2","clr_noise","sd_0.03",73,1,1,1,0.307305331606623
"A2","clr_noise","sd_0.03",74,1,1,1,0.313823789168274
"A2","clr_noise","sd_0.03",75,1,1,1,0.301546744246208
"A2","clr_noise","sd_0.03",76,1,1,1,0.326408733991748
"A2","clr_noise","sd_0.03",77,1,1,1,0.308542936738532
"A2","clr_noise","sd_0.03",78,1,1,1,0.329479529953928
"A2","clr_noise","sd_0.03",79,1,1,1,0.31218188733784
"A2","clr_noise","sd_0.03",80,1,1,1,0.303118367432673
"A2","clr_noise","sd_0.03",81,1,1,1,0.304318020490838
"A2","clr_noise","sd_0.03",82,1,1,1,0.295917266965546
"A2","clr_noise","sd_0.03",83,1,1,1,0.298522362567241
"A2","clr_noise","sd_0.03",84,1,1,1,0.310017298139975
"A2","clr_noise","sd_0.03",85,1,1,1,0.315095789477094
"A2","clr_noise","sd_0.03",86,1,1,1,0.307697367991455
"A2","clr_noise","sd_0.03",87,1,1,1,0.316112604854791
"A2","clr_noise","sd_0.03",88,1,1,1,0.306020248630876
"A2","clr_noise","sd_0.03",89,1,1,1,0.317641176902176
"A2","clr_noise","sd_0.03",90,1,1,1,0.308672690775455
"A2","clr_noise","sd_0.03",91,1,1,1,0.314709325586804
"A2","clr_noise","sd_0.03",92,1,1,1,0.320720839680414
"A2","clr_noise","sd_0.03",93,1,1,1,0.317513386294491
"A2","clr_noise","sd_0.03",94,1,1,1,0.314266619256173
"A2","clr_noise","sd_0.03",95,1,1,1,0.310867894731097
"A2","clr_noise","sd_0.03",96,1,1,1,0.312116132848827
"A2","clr_noise","sd_0.03",97,1,1,1,0.299640658775465
"A2","clr_noise","sd_0.03",98,1,1,1,0.323141921120442
"A2","clr_noise","sd_0.03",99,1,1,1,0.302671592752273
"A2","clr_noise","sd_0.03",100,1,1,1,0.306231550882875
"A3","clr_noise","sd_0.03",1,1,1,1,0.777266975113042
"A3","clr_noise","sd_0.03",2,1,1,1,0.773434507614406
"A3","clr_noise","sd_0.03",3,1,1,1,0.770745005462734
"A3","clr_noise","sd_0.03",4,1,1,1,0.764251208757333
"A3","clr_noise","sd_0.03",5,1,1,1,0.775833374902916
"A3","clr_noise","sd_0.03",6,1,1,1,0.767346706709912
"A3","clr_noise","sd_0.03",7,1,1,1,0.764496116575048
"A3","clr_noise","sd_0.03",8,1,1,1,0.77316643109354
"A3","clr_noise","sd_0.03",9,1,1,1,0.777987512527529
"A3","clr_noise","sd_0.03",10,1,1,1,0.746665246338702
"A3","clr_noise","sd_0.03",11,1,1,1,0.766531976221658
"A3","clr_noise","sd_0.03",12,1,1,1,0.770387341636794
"A3","clr_noise","sd_0.03",13,1,1,1,0.787045935386838
"A3","clr_noise","sd_0.03",14,1,1,1,0.768631778384904
"A3","clr_noise","sd_0.03",15,1,1,1,0.767423577112677
"A3","clr_noise","sd_0.03",16,1,1,1,0.767143191891706
"A3","clr_noise","sd_0.03",17,1,1,1,0.751425881053678
"A3","clr_noise","sd_0.03",18,1,1,1,0.780347540735177
"A3","clr_noise","sd_0.03",19,1,1,1,0.78190240007099
"A3","clr_noise","sd_0.03",20,1,1,1,0.775061927114418
"A3","clr_noise","sd_0.03",21,1,1,1,0.779941932635176
"A3","clr_noise","sd_0.03",22,1,1,1,0.766915244539267
"A3","clr_noise","sd_0.03",23,1,1,1,0.786418360647363
"A3","clr_noise","sd_0.03",24,1,1,1,0.754852994167381
"A3","clr_noise","sd_0.03",25,1,1,1,0.772580858200405
"A3","clr_noise","sd_0.03",26,1,1,1,0.764805077469359
"A3","clr_noise","sd_0.03",27,1,1,1,0.771440038919263
"A3","clr_noise","sd_0.03",28,1,1,1,0.773507027712884
"A3","clr_noise","sd_0.03",29,1,1,1,0.779286726755626
"A3","clr_noise","sd_0.03",30,1,1,1,0.766992985601503
"A3","clr_noise","sd_0.03",31,1,1,1,0.755213720798285
"A3","clr_noise","sd_0.03",32,1,1,1,0.760119272187553
"A3","clr_noise","sd_0.03",33,1,1,1,0.777382914079601
"A3","clr_noise","sd_0.03",34,1,1,1,0.776812472502122
"A3","clr_noise","sd_0.03",35,1,1,1,0.764350324110504
"A3","clr_noise","sd_0.03",36,1,1,1,0.759041626481838
"A3","clr_noise","sd_0.03",37,1,1,1,0.762526599368702
"A3","clr_noise","sd_0.03",38,1,1,1,0.791477020277667
"A3","clr_noise","sd_0.03",39,1,1,1,0.761049654925144
"A3","clr_noise","sd_0.03",40,1,1,1,0.765058245583134
"A3","clr_noise","sd_0.03",41,1,1,1,0.776213543130975
"A3","clr_noise","sd_0.03",42,1,1,1,0.775445051887076
"A3","clr_noise","sd_0.03",43,1,1,1,0.770794280281346
"A3","clr_noise","sd_0.03",44,1,1,1,0.77234289660459
"A3","clr_noise","sd_0.03",45,1,1,1,0.763428236747
"A3","clr_noise","sd_0.03",46,1,1,1,0.764447494363081
"A3","clr_noise","sd_0.03",47,1,1,1,0.769439352256005
"A3","clr_noise","sd_0.03",48,1,1,1,0.781065385172047
"A3","clr_noise","sd_0.03",49,1,1,1,0.773665860352701
"A3","clr_noise","sd_0.03",50,1,1,1,0.773880429677171
"A3","clr_noise","sd_0.03",51,1,1,1,0.778270998949794
"A3","clr_noise","sd_0.03",52,1,1,1,0.777023195004044
"A3","clr_noise","sd_0.03",53,1,1,1,0.774176462074289
"A3","clr_noise","sd_0.03",54,1,1,1,0.768837972040658
"A3","clr_noise","sd_0.03",55,1,1,1,0.763040119706986
"A3","clr_noise","sd_0.03",56,1,1,1,0.764989419890746
"A3","clr_noise","sd_0.03",57,1,1,1,0.777237822056527
"A3","clr_noise","sd_0.03",58,1,1,1,0.782168851891851
"A3","clr_noise","sd_0.03",59,1,1,1,0.749713748526745
"A3","clr_noise","sd_0.03",60,1,1,1,0.767081821144811
"A3","clr_noise","sd_0.03",61,1,1,1,0.768750396428014
"A3","clr_noise","sd_0.03",62,1,1,1,0.782579640333593
"A3","clr_noise","sd_0.03",63,1,1,1,0.773055251607426
"A3","clr_noise","sd_0.03",64,1,1,1,0.774026998333524
"A3","clr_noise","sd_0.03",65,1,1,1,0.770377505768844
"A3","clr_noise","sd_0.03",66,1,1,1,0.780465575118127
"A3","clr_noise","sd_0.03",67,1,1,1,0.776203804691139
"A3","clr_noise","sd_0.03",68,1,1,1,0.765997359025536
"A3","clr_noise","sd_0.03",69,1,1,1,0.759098277897318
"A3","clr_noise","sd_0.03",70,1,1,1,0.773834085225226
"A3","clr_noise","sd_0.03",71,1,1,1,0.768056509538985
"A3","clr_noise","sd_0.03",72,1,1,1,0.773333994085489
"A3","clr_noise","sd_0.03",73,1,1,1,0.78223413428504
"A3","clr_noise","sd_0.03",74,1,1,1,0.763694755410519
"A3","clr_noise","sd_0.03",75,1,1,1,0.765725470337777
"A3","clr_noise","sd_0.03",76,1,1,1,0.772612661401172
"A3","clr_noise","sd_0.03",77,1,1,1,0.761071705286436
"A3","clr_noise","sd_0.03",78,1,1,1,0.782437504081411
"A3","clr_noise","sd_0.03",79,1,1,1,0.760919512361168
"A3","clr_noise","sd_0.03",80,1,1,1,0.774479133414399
"A3","clr_noise","sd_0.03",81,1,1,1,0.772286224495867
"A3","clr_noise","sd_0.03",82,1,1,1,0.760990237285994
"A3","clr_noise","sd_0.03",83,1,1,1,0.779701070170133
"A3","clr_noise","sd_0.03",84,1,1,1,0.761298614880867
"A3","clr_noise","sd_0.03",85,1,1,1,0.781226318361806
"A3","clr_noise","sd_0.03",86,1,1,1,0.773970133694095
"A3","clr_noise","sd_0.03",87,1,1,1,0.766032854160108
"A3","clr_noise","sd_0.03",88,1,1,1,0.778504996466775
"A3","clr_noise","sd_0.03",89,1,1,1,0.758993648891423
"A3","clr_noise","sd_0.03",90,1,1,1,0.767427435273264
"A3","clr_noise","sd_0.03",91,1,1,1,0.777640256001781
"A3","clr_noise","sd_0.03",92,1,1,1,0.769269004360617
"A3","clr_noise","sd_0.03",93,1,1,1,0.761305650769213
"A3","clr_noise","sd_0.03",94,1,1,1,0.763166161639315
"A3","clr_noise","sd_0.03",95,1,1,1,0.765928965883116
"A3","clr_noise","sd_0.03",96,1,1,1,0.768794662584332
"A3","clr_noise","sd_0.03",97,1,1,1,0.769529018942782
"A3","clr_noise","sd_0.03",98,1,1,1,0.780602268698843
"A3","clr_noise","sd_0.03",99,1,1,1,0.782553333005594
"A3","clr_noise","sd_0.03",100,1,1,1,0.769260037839529
"A4","clr_noise","sd_0.03",1,1,1,1,0.602063448538725
"A4","clr_noise","sd_0.03",2,1,1,1,0.592325071470867
"A4","clr_noise","sd_0.03",3,1,1,1,0.599464661855184
"A4","clr_noise","sd_0.03",4,1,1,1,0.57619387583192
"A4","clr_noise","sd_0.03",5,1,1,1,0.598784311182393
"A4","clr_noise","sd_0.03",6,1,1,1,0.610023018015666
"A4","clr_noise","sd_0.03",7,1,1,1,0.589442141134482
"A4","clr_noise","sd_0.03",8,1,1,1,0.595285327481085
"A4","clr_noise","sd_0.03",9,1,1,1,0.604676393656579
"A4","clr_noise","sd_0.03",10,1,1,1,0.614855907821534
"A4","clr_noise","sd_0.03",11,1,1,1,0.603220878347326
"A4","clr_noise","sd_0.03",12,1,1,1,0.595972066142811
"A4","clr_noise","sd_0.03",13,1,1,1,0.588215846834468
"A4","clr_noise","sd_0.03",14,1,1,1,0.580927040440117
"A4","clr_noise","sd_0.03",15,1,1,1,0.607234342518504
"A4","clr_noise","sd_0.03",16,1,1,1,0.593236894083426
"A4","clr_noise","sd_0.03",17,1,1,1,0.598651625328485
"A4","clr_noise","sd_0.03",18,1,1,1,0.600957120075489
"A4","clr_noise","sd_0.03",19,1,1,1,0.596453774069672
"A4","clr_noise","sd_0.03",20,1,1,1,0.609005015401068
"A4","clr_noise","sd_0.03",21,1,1,1,0.60181294877701
"A4","clr_noise","sd_0.03",22,1,1,1,0.607519439022807
"A4","clr_noise","sd_0.03",23,1,1,1,0.625079728103821
"A4","clr_noise","sd_0.03",24,1,1,1,0.578452369884918
"A4","clr_noise","sd_0.03",25,1,1,1,0.603176120938078
"A4","clr_noise","sd_0.03",26,1,1,1,0.601004862624025
"A4","clr_noise","sd_0.03",27,1,1,1,0.589516760567182
"A4","clr_noise","sd_0.03",28,1,1,1,0.591529042302681
"A4","clr_noise","sd_0.03",29,1,1,1,0.613117252396156
"A4","clr_noise","sd_0.03",30,1,1,1,0.594565561879532
"A4","clr_noise","sd_0.03",31,1,1,1,0.600382031665537
"A4","clr_noise","sd_0.03",32,1,1,1,0.600302069434547
"A4","clr_noise","sd_0.03",33,1,1,1,0.594862518157171
"A4","clr_noise","sd_0.03",34,1,1,1,0.607807300273397
"A4","clr_noise","sd_0.03",35,1,1,1,0.593515054768702
"A4","clr_noise","sd_0.03",36,1,1,1,0.598343967378149
"A4","clr_noise","sd_0.03",37,1,1,1,0.591096467910586
"A4","clr_noise","sd_0.03",38,1,1,1,0.609515738043189
"A4","clr_noise","sd_0.03",39,1,1,1,0.594436028968225
"A4","clr_noise","sd_0.03",40,1,1,1,0.597114209733186
"A4","clr_noise","sd_0.03",41,1,1,1,0.607979636645729
"A4","clr_noise","sd_0.03",42,1,1,1,0.600964519980985
"A4","clr_noise","sd_0.03",43,1,1,1,0.594930910996696
"A4","clr_noise","sd_0.03",44,1,1,1,0.610783472718142
"A4","clr_noise","sd_0.03",45,1,1,1,0.593411838615258
"A4","clr_noise","sd_0.03",46,1,1,1,0.593496333538604
"A4","clr_noise","sd_0.03",47,1,1,1,0.589243724133069
"A4","clr_noise","sd_0.03",48,1,1,1,0.611467004831491
"A4","clr_noise","sd_0.03",49,1,1,1,0.596599778748649
"A4","clr_noise","sd_0.03",50,1,1,1,0.600830560566072
"A4","clr_noise","sd_0.03",51,1,1,1,0.599375368839223
"A4","clr_noise","sd_0.03",52,1,1,1,0.603514860751364
"A4","clr_noise","sd_0.03",53,1,1,1,0.604122580891669
"A4","clr_noise","sd_0.03",54,1,1,1,0.601443109777708
"A4","clr_noise","sd_0.03",55,1,1,1,0.607851880578462
"A4","clr_noise","sd_0.03",56,1,1,1,0.605481851045134
"A4","clr_noise","sd_0.03",57,1,1,1,0.60319465993686
"A4","clr_noise","sd_0.03",58,1,1,1,0.599330383245894
"A4","clr_noise","sd_0.03",59,1,1,1,0.577796845844158
"A4","clr_noise","sd_0.03",60,1,1,1,0.612943600599112
"A4","clr_noise","sd_0.03",61,1,1,1,0.617592638290466
"A4","clr_noise","sd_0.03",62,1,1,1,0.599422476632807
"A4","clr_noise","sd_0.03",63,1,1,1,0.595992084321028
"A4","clr_noise","sd_0.03",64,1,1,1,0.594895692134637
"A4","clr_noise","sd_0.03",65,1,1,1,0.595754643966
"A4","clr_noise","sd_0.03",66,1,1,1,0.599953623572937
"A4","clr_noise","sd_0.03",67,1,1,1,0.588758523495977
"A4","clr_noise","sd_0.03",68,1,1,1,0.601308805820833
"A4","clr_noise","sd_0.03",69,1,1,1,0.613035799222713
"A4","clr_noise","sd_0.03",70,1,1,1,0.59179578659192
"A4","clr_noise","sd_0.03",71,1,1,1,0.603132415831718
"A4","clr_noise","sd_0.03",72,1,1,1,0.603726155163864
"A4","clr_noise","sd_0.03",73,1,1,1,0.588629049659301
"A4","clr_noise","sd_0.03",74,1,1,1,0.595606861436714
"A4","clr_noise","sd_0.03",75,1,1,1,0.598829176519048
"A4","clr_noise","sd_0.03",76,1,1,1,0.606658167881222
"A4","clr_noise","sd_0.03",77,1,1,1,0.599265469537884
"A4","clr_noise","sd_0.03",78,1,1,1,0.605641423757071
"A4","clr_noise","sd_0.03",79,1,1,1,0.603914917847828
"A4","clr_noise","sd_0.03",80,1,1,1,0.596680541898852
"A4","clr_noise","sd_0.03",81,1,1,1,0.600294995090154
"A4","clr_noise","sd_0.03",82,1,1,1,0.613050045755889
"A4","clr_noise","sd_0.03",83,1,1,1,0.611853206441854
"A4","clr_noise","sd_0.03",84,1,1,1,0.604869103788218
"A4","clr_noise","sd_0.03",85,1,1,1,0.60270353655425
"A4","clr_noise","sd_0.03",86,1,1,1,0.599905134801446
"A4","clr_noise","sd_0.03",87,1,1,1,0.595508168541371
"A4","clr_noise","sd_0.03",88,1,1,1,0.586857087207983
"A4","clr_noise","sd_0.03",89,1,1,1,0.596515725634027
"A4","clr_noise","sd_0.03",90,1,1,1,0.600123423225917
"A4","clr_noise","sd_0.03",91,1,1,1,0.604044438055973
"A4","clr_noise","sd_0.03",92,1,1,1,0.5972961972956
"A4","clr_noise","sd_0.03",93,1,1,1,0.602526642580319
"A4","clr_noise","sd_0.03",94,1,1,1,0.620992839944343
"A4","clr_noise","sd_0.03",95,1,1,1,0.599790705649635
"A4","clr_noise","sd_0.03",96,1,1,1,0.602242494313118
"A4","clr_noise","sd_0.03",97,1,1,1,0.592114043024854
"A4","clr_noise","sd_0.03",98,1,1,1,0.592882667502487
"A4","clr_noise","sd_0.03",99,1,1,1,0.604324384061863
"A4","clr_noise","sd_0.03",100,1,1,1,0.598496044522014
"A5","clr_noise","sd_0.03",1,1,1,1,0.293052304818853
"A5","clr_noise","sd_0.03",2,1,1,1,0.304716633882305
"A5","clr_noise","sd_0.03",3,1,1,1,0.289042228486437
"A5","clr_noise","sd_0.03",4,1,1,1,0.297460472827582
"A5","clr_noise","sd_0.03",5,1,1,1,0.291675775363394
"A5","clr_noise","sd_0.03",6,1,1,1,0.293184482675532
"A5","clr_noise","sd_0.03",7,1,1,1,0.285550831981772
"A5","clr_noise","sd_0.03",8,1,1,1,0.275578987469573
"A5","clr_noise","sd_0.03",9,1,1,1,0.297290551952277
"A5","clr_noise","sd_0.03",10,1,1,1,0.284940100052584
"A5","clr_noise","sd_0.03",11,1,1,1,0.280337120188124
"A5","clr_noise","sd_0.03",12,1,1,1,0.298907507284511
"A5","clr_noise","sd_0.03",13,1,1,1,0.300338712289326
"A5","clr_noise","sd_0.03",14,1,1,1,0.290219764025722
"A5","clr_noise","sd_0.03",15,1,1,1,0.292397652887527
"A5","clr_noise","sd_0.03",16,1,1,1,0.296487280512711
"A5","clr_noise","sd_0.03",17,1,1,1,0.290937418213126
"A5","clr_noise","sd_0.03",18,1,1,1,0.286857672488678
"A5","clr_noise","sd_0.03",19,1,1,1,0.288654436208924
"A5","clr_noise","sd_0.03",20,1,1,1,0.304473293364827
"A5","clr_noise","sd_0.03",21,1,1,1,0.278929601754031
