"scenario","glass_type","component","median_log_change"
"CLR baseline; delta=0.04%","高钾","component_14",-0.18241679369872
"CLR baseline; delta=0.04%","铅钡","component_1",-0.817190336377056
"CLR baseline; delta=0.04%","铅钡","component_2",-0.458111109427248
"CLR baseline; delta=0.04%","铅钡","component_3",-0.927370732205975
"CLR baseline; delta=0.04%","铅钡","component_4",1.14843717409607
"CLR baseline; delta=0.04%","铅钡","component_5",-0.370932823862059
"CLR baseline; delta=0.04%","铅钡","component_6",-0.393582797755415
"CLR baseline; delta=0.04%","铅钡","component_7",1.74936610469336
"CLR baseline; delta=0.04%","铅钡","component_8",0.911274416835912
"CLR baseline; delta=0.04%","铅钡","component_9",0.74231527303123
"CLR baseline; delta=0.04%","铅钡","component_10",0.210917979624317
"CLR baseline; delta=0.04%","铅钡","component_11",2.94690455583671
"CLR baseline; delta=0.04%","铅钡","component_12",0.393751256187222
"CLR baseline; delta=0.04%","铅钡","component_13",0.0779705884914826
"CLR baseline; delta=0.04%","铅钡","component_14",0.17629926681807
"CLR baseline; remove_severe","高钾","component_1",0.313848197368907
"CLR baseline; remove_severe","高钾","component_2",-0.0855811294388035
"CLR baseline; remove_severe","高钾","component_3",-2.9514370140587
"CLR baseline; remove_severe","高钾","component_4",-2.00035068287477
"CLR baseline; remove_severe","高钾","component_5",-3.67833617481079
"CLR baseline; remove_severe","高钾","component_6",-1.34874469211689
"CLR baseline; remove_severe","高钾","component_7",-2.02795818588049
"CLR baseline; remove_severe","高钾","component_8",-0.450997059920995
"CLR baseline; remove_severe","高钾","component_9",-2.10353599171913
"CLR baseline; remove_severe","高钾","component_10",-0.587920705841086
"CLR baseline; remove_severe","高钾","component_11",-1.68834619052482
"CLR baseline; remove_severe","高钾","component_12",-0.967047944309318
"CLR baseline; remove_severe","高钾","component_13",-0.0690086329558802
"CLR baseline; remove_severe","高钾","component_14",-0.170398170351972
"CLR baseline; remove_severe","铅钡","component_1",-0.769547841319491
"CLR baseline; remove_severe","铅钡","component_2",-0.51924387601176
"CLR baseline; remove_severe","铅钡","component_3",-1.4916410852111
"CLR baseline; remove_severe","铅钡","component_4",1.03860357556381
"CLR baseline; remove_severe","铅钡","component_5",-0.421223260667447
"CLR baseline; remove_severe","铅钡","component_6",-0.322400641000556
"CLR baseline; remove_severe","铅钡","component_7",2.50520714791657
"CLR baseline; remove_severe","铅钡","component_8",0.750163670357936
"CLR baseline; remove_severe","铅钡","component_9",0.767449585925515
"CLR baseline; remove_severe","铅钡","component_10",0.0803743399309562
"CLR baseline; remove_severe","铅钡","component_11",2.76733921069231
"CLR baseline; remove_severe","铅钡","component_12",0.252348246204286
"CLR baseline; remove_severe","铅钡","component_13",0.0296600806951872
"CLR baseline; remove_severe","铅钡","component_14",0.0398116637717487
