sample_name,artifact_id,composition_sum,valid,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14
25未风化点,25,97.06,1,50.61,2.31,0,0.63,0,1.9,1.55,1.12,31.9,6.65,0.19,0.2,0,0
26,26,99.82,1,19.79,0,0,1.44,0,0.7,0,10.57,29.53,32.25,3.13,0.45,0,1.96
26严重风化点,26,99.89,1,3.72,0,0.4,3.01,0,1.18,0,3.6,29.92,35.45,6.04,0.62,0,15.95
27,27,98.81,1,92.72,0,0,0.94,0.54,2.51,0.2,1.54,0,0,0.36,0,0,0
28未风化点,28,98.69,1,68.08,0,0.26,1.34,1,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0
29未风化点,29,99.88,1,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0,0
30部位1,30,97.95,1,34.34,0,1.41,4.49,0.98,4.35,2.12,0,39.22,10.29,0,0.35,0.4,0
30部位2,30,98.7,1,36.93,0,0,4.24,0.51,3.86,2.74,0,37.74,10.35,1.41,0.48,0.44,0
31,31,98.43,1,65.91,0,0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0,0
32,32,98.66,1,69.71,0,0.21,0.46,0,2.36,1,0.11,19.76,4.88,0.17,0,0,0
33,33,99.96,1,75.51,0,0.15,0.64,1,2.35,0,0.47,16.16,3.55,0.13,0,0,0
34,34,97.52,1,35.78,0,0.25,0.78,0,1.62,0.47,1.51,46.55,10,0.34,0.22,0,0
35,35,96.21,1,65.91,0,0,0.38,0,1.44,0.17,0.16,22.05,5.68,0.42,0,0,0
36,36,97.63,1,39.57,2.22,0.14,0.37,0,1.6,0.32,0.68,41.61,10.83,0.07,0.22,0,0
37,37,99.98,1,60.12,0,0.23,0.89,0,2.72,0,3.01,17.24,10.34,1.46,0.31,0,3.66
38,38,98.57,1,32.93,1.38,0,0.68,0,2.57,0.29,0.73,49.31,9.79,0.48,0.41,0,0
39,39,98.76,1,26.25,0,0,1.11,0,0.5,0,0.88,61.03,7.22,1.16,0.61,0,0
40,40,98.57,1,16.71,0,0,1.87,0,0.45,0.19,0,70.21,6.69,1.77,0.68,0,0
41,41,93.71,1,18.46,0,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,0,0
42未风化点1,42,98.01,1,51.26,5.74,0.15,0.79,1.09,3.53,0,2.67,21.88,10.47,0.08,0.35,0,0
42未风化点2,42,97.9,1,51.33,5.68,0.35,0,1.16,5.66,0,2.72,20.12,10.88,0,0,0,0
43部位1,43,94.68,1,12.41,0,0,5.24,0.89,2.25,0.76,5.35,59.85,7.29,0,0.64,0,0
43部位2,43,96.67,1,21.7,0,0,6.4,0.95,3.41,1.39,1.51,44.75,3.26,12.83,0.47,0,0
44未风化点,44,99.12,1,60.74,3.06,0.2,2.14,0,12.69,0.77,0.43,13.61,5.22,0,0.26,0,0
45,45,98.34,1,61.28,2.66,0.11,0.84,0.74,5,0,0.53,15.99,10.96,0,0.23,0,0
46,46,98.63,1,55.21,0,0.25,0,1.67,4.79,0,0.77,25.25,10.06,0.2,0.43,0,0
47,47,97.26,1,51.54,4.66,0.29,0.87,0.61,3.06,0,0.65,25.4,9.23,0.1,0.85,0,0
48,48,99.17,1,53.33,0.8,0.32,2.82,1.54,13.65,1.03,0,15.71,7.31,1.1,0.25,1.31,0
49,49,95.5,1,28.79,0,0,4.58,1.47,5.38,2.74,0.7,34.18,6.1,11.1,0.46,0,0
49未风化点,49,98.24,1,54.61,0,0.3,2.08,1.2,6.5,1.27,0.45,23.02,4.19,4.32,0.3,0,0
50,50,90.17,1,17.98,0,0,3.19,0.47,1.87,0.33,1.13,44,14.2,6.34,0.66,0,0
50未风化点,50,96.94,1,45.02,0,0,3.12,0.54,4.16,0,0.7,30.61,6.22,6.34,0.23,0,0
51部位1,51,95.33,1,24.61,0,0,3.58,1.19,5.25,1.19,1.37,40.24,8.94,8.1,0.39,0.47,0
51部位2,51,91.7,1,21.35,0,0,5.13,1.45,2.51,0.42,0.75,51.34,0,8.75,0,0,0
52,52,94.08,1,25.74,1.22,0,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,0,0
53未风化点,53,98.25,1,63.66,3.04,0.11,0.78,1.14,6.06,0,0.54,13.66,8.99,0,0.27,0,0
54,54,99.67,1,22.28,0,0.32,3.19,1.28,4.15,0,0.83,55.46,7.04,4.24,0.88,0,0
54严重风化点,54,96.92,1,17.11,0,0,0,1.11,3.65,0,1.34,58.46,0,14.13,1.12,0,0
55,55,96.38,1,49.01,2.71,0,1.13,0,1.45,0,0.86,32.92,7.95,0.35,0,0,0
56,56,92.24,1,29.15,0,0,1.21,0,1.85,0,0.79,41.25,15.45,2.54,0,0,0
57,57,92.47,1,25.42,0,0,1.31,0,2.18,0,1.16,45.1,17.3,0,0,0,0
58,58,98.76,1,30.39,0,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,0,0
